Latitude,Longitude,Sample Date,pet
-26.73806,27.59194,19-02-2014,164.40001
-26.45,28.085833,19-02-2014,159.7
-29.033333,23.983333,19-02-2014,217.3
-28.69485,28.23487,19-02-2014,157.3
-28.883333,27.89,19-02-2014,161.3
-33.7075,18.97444444,19-02-2014,203.90001
-25.57877778,29.12747222,19-02-2014,160.6
-30.830556,26.921389,20-02-2014,177.6
-28.1175,26.719444,20-02-2014,186.2
-29.658056,25.973333,20-02-2014,194.1
-30.679722,26.7125,20-02-2014,183.40001
-30.160091,27.40124,20-02-2014,173.5
-30.336111,27.359444,20-02-2014,173.6
-33.31388889,19.07472222,20-02-2014,209.40001
-24.925278,29.324444,21-02-2014,161.90001
-30.534167,24.961944,21-02-2014,210.7
-29.7775,29.470833,24-02-2014,137.8
-29.744167,29.905833,24-02-2014,141.6
-26.45,28.085833,24-02-2014,159.7
-27.935,26.126667,24-02-2014,194.8
-28.1175,26.719444,24-02-2014,186.2
-28.116667,26.725278,24-02-2014,186.2
-29.160278,26.573333,24-02-2014,192.5
-27.01011111,26.69808333,25-02-2014,180.0
-25.127778,27.628889,25-02-2014,173.40001
-24.39619444,27.08983333,25-02-2014,175.2
-24.69514,27.40906,25-02-2014,178.1
-27.5275,30.858056,25-02-2014,145.8
-30.733889,29.828333,25-02-2014,130.7
-29.987778,29.851667,25-02-2014,135.40001
-29.380556,30.2775,25-02-2014,135.40001
-26.861111,28.884722,25-02-2014,156.1
-26.970278,27.211111,25-02-2014,170.40001
-26.880278,26.965,25-02-2014,172.40001
-26.98472222,26.63227778,25-02-2014,178.2
-27.044444,27.005,25-02-2014,174.8
-33.501667,21.624167,25-02-2014,184.0
-28.058889,30.373611,25-02-2014,155.7
-29.161667,23.696389,26-02-2014,221.2
-25.20639,27.558,26-02-2014,174.0
-25.73411,27.21422,26-02-2014,165.7
-26.648056,27.089444,26-02-2014,168.6
-28.116667,26.725278,26-02-2014,186.2
-27.671111,27.236944,26-02-2014,177.90001
-28.768056,20.720556,26-02-2014,260.2
-27.356667,27.286389,26-02-2014,177.3
-30.13573889,30.67422222,27-02-2014,137.8
-30.398056,30.601944,27-02-2014,135.7
-27.902778,24.615556,28-02-2014,210.3
-29.803611,30.516111,28-02-2014,134.8
-26.73806,27.59194,03-03-2014,164.40001
-26.45,28.085833,03-03-2014,159.7
-27.935,26.126667,03-03-2014,194.8
-28.116667,26.725278,03-03-2014,186.2
-32.502778,19.535833,03-03-2014,233.8
-27.356667,27.286389,03-03-2014,177.3
-25.81048333,27.90955222,04-03-2014,163.7
-26.861111,28.884722,04-03-2014,156.1
-27.02314,28.59389,04-03-2014,158.2
-27.398611,26.614722,04-03-2014,187.7
-27.671111,27.236944,04-03-2014,177.90001
-34.039722,22.133333,04-03-2014,152.40001
-27.495556,26.074722,04-03-2014,192.0
-27.4,26.624722,04-03-2014,187.7
-29.161667,23.696389,05-03-2014,221.2
-27.01011111,26.69808333,05-03-2014,180.0
-29.140556,31.391944,05-03-2014,143.3
-29.744167,29.905833,05-03-2014,141.6
-26.880278,26.965,05-03-2014,172.40001
-26.98472222,26.63227778,05-03-2014,178.2
-27.671111,27.236944,05-03-2014,177.90001
-29.033333,23.983333,05-03-2014,217.3
-34.02861,22.22222,05-03-2014,149.2
-33.13083,18.86278,05-03-2014,212.90001
-25.45963889,28.26430556,05-03-2014,164.7
-22.769722,30.886944,06-03-2014,143.1
-27.937778,31.209444,06-03-2014,151.1
-26.648056,27.089444,06-03-2014,168.6
-26.970278,27.211111,06-03-2014,170.40001
-27.398611,26.614722,06-03-2014,187.7
-27.044444,27.005,06-03-2014,174.8
-29.651389,22.746389,06-03-2014,248.2
-29.1825,23.575556,06-03-2014,226.40001
-34.031944,22.053333,06-03-2014,153.90001
-33.7075,18.97444444,06-03-2014,203.90001
-32.94583,18.33667,06-03-2014,197.8
-28.058889,30.373611,06-03-2014,155.7
-28.404444,30.013056,07-03-2014,160.8
-28.116667,26.725278,07-03-2014,186.2
-29.651389,22.746389,07-03-2014,248.2
-34.005833,22.351111,07-03-2014,146.0
-29.380556,30.2775,08-03-2014,135.40001
-26.45,28.085833,10-03-2014,159.7
-26.98472222,26.63227778,10-03-2014,178.2
-28.1175,26.719444,10-03-2014,186.2
-31.396,29.2651,10-03-2014,133.3
-31.554722,29.245556,10-03-2014,123.6
-27.01011111,26.69808333,11-03-2014,180.0
-24.183889,30.823889,11-03-2014,139.7
-26.861111,28.884722,11-03-2014,156.1
-26.648056,27.089444,11-03-2014,168.6
-26.970278,27.211111,11-03-2014,170.40001
-26.880278,26.965,11-03-2014,172.40001
-26.98472222,26.63227778,11-03-2014,178.2
-27.902778,24.615556,02-08-2012,229.7
-27.044444,27.005,11-03-2014,174.8
-30.568333,29.422778,11-03-2014,136.5
-30.570833,29.150556,11-03-2014,138.0
-31.104278,29.399722,11-03-2014,132.6
-34.092222,21.295278,11-03-2014,168.8
-29.161667,23.696389,12-03-2014,221.2
-28.7115,24.07288889,12-03-2014,216.3
-29.641944,30.6875,12-03-2014,140.5
-27.902778,24.615556,20-06-2013,198.40001
-24.034167,31.123611,12-03-2014,137.8
-28.44555556,32.325,07-05-2014,140.7
-28.75,30.442778,12-03-2014,162.0
-29.161667,30.629722,12-03-2014,138.1
-27.02314,28.59389,12-03-2014,158.2
-27.273889,28.49,12-03-2014,158.8
-27.4275,28.525833,12-03-2014,157.90001
-27.3,28.586944,12-03-2014,158.0
-27.902778,24.615556,02-01-2014,152.40001
-27.935,26.126667,12-03-2014,194.8
-28.141944,26.417778,12-03-2014,191.90001
-29.651389,22.746389,12-03-2014,248.2
-31.031389,28.883333,12-03-2014,137.90001
-30.86013889,29.07125,12-03-2014,139.3
-30.77586667,29.03221667,12-03-2014,140.3
-27.902778,24.615556,23-05-2014,210.3
-28.338333,31.373611,12-03-2014,146.90001
-28.068333,31.55,12-03-2014,154.90001
-24.679167,30.8025,13-03-2014,133.7
-25.20639,27.558,13-03-2014,174.0
-27.573056,24.746389,13-03-2014,211.90001
-31.394444,20.947222,13-03-2014,240.3
-33.08883333,19.21878333,13-03-2014,198.90001
-33.897778,20.012778,13-03-2014,193.5
-27.902778,24.615556,14-03-2014,210.3
-27.573056,24.746389,15-03-2014,211.90001
-28.96362,19.15486,15-03-2014,262.0
-27.902778,24.615556,21-11-2014,223.7
-25.99136,27.84208,17-03-2014,160.1
-28.735556,29.820556,17-03-2014,159.40001
-26.73806,27.59194,17-03-2014,164.40001
-27.935,26.126667,17-03-2014,194.8
-28.1175,26.719444,17-03-2014,186.2
-28.116667,26.725278,17-03-2014,186.2
-29.042222,24.6,17-03-2014,219.1
-29.033333,23.983333,17-03-2014,217.3
-23.658056,31.05,18-03-2014,139.0
-23.281,30.54305556,18-03-2014,140.40001
-27.169444,29.233889,18-03-2014,152.1
-26.861111,28.884722,18-03-2014,156.1
-26.98472222,26.63227778,18-03-2014,178.2
-29.028629,24.638389,18-03-2014,218.2
-33.38056,19.30167,18-03-2014,195.7
-33.31388889,19.07472222,18-03-2014,209.40001
-25.45963889,28.26430556,18-03-2014,164.7
-27.495556,26.074722,18-03-2014,192.0
-25.447222,30.711667,18-03-2014,140.3
-29.161667,23.696389,19-03-2014,221.2
-27.01011111,26.69808333,19-03-2014,180.0
-25.81048333,27.90955222,19-03-2014,163.7
-27.363611,31.783333,19-03-2014,147.1
-26.648056,27.089444,19-03-2014,168.6
-26.970278,27.211111,19-03-2014,170.40001
-26.880278,26.965,19-03-2014,172.40001
-27.044444,27.005,19-03-2014,174.8
-27.573056,24.746389,19-03-2014,211.90001
-29.033333,23.983333,19-03-2014,217.3
-28.376944,24.303056,29-09-2011,220.8
-28.376944,24.303056,20-11-2011,220.8
-28.376944,24.303056,08-12-2011,220.8
-32.595833,19.009444,19-03-2014,223.1
-28.376944,24.303056,19-01-2012,204.3
-26.03611,30.99778,20-03-2014,148.1
-27.602222,29.942778,20-03-2014,162.40001
-29.744167,29.905833,20-03-2014,141.6
-28.376944,24.303056,05-07-2012,204.3
-28.376944,24.303056,11-07-2012,231.8
-29.7775,29.470833,24-03-2014,137.8
-28.376944,24.303056,16-08-2012,231.8
-28.376944,24.303056,30-08-2012,231.8
-28.376944,24.303056,27-09-2012,231.8
-28.376944,24.303056,17-01-2013,200.90001
-28.376944,24.303056,28-02-2013,200.90001
-29.987778,29.851667,24-03-2014,135.40001
-28.376944,24.303056,14-03-2013,200.90001
-28.376944,24.303056,11-04-2013,200.90001
-28.376944,24.303056,25-04-2013,200.90001
-28.376944,24.303056,09-05-2013,200.90001
-28.376944,24.303056,20-06-2013,200.90001
-28.376944,24.303056,04-07-2013,200.90001
-28.376944,24.303056,18-07-2013,214.8
-28.376944,24.303056,01-08-2013,214.8
-28.376944,24.303056,15-08-2013,214.8
-28.376944,24.303056,29-08-2013,214.8
-28.376944,24.303056,12-09-2013,214.8
-28.376944,24.303056,26-09-2013,214.8
-28.376944,24.303056,10-10-2013,214.8
-28.376944,24.303056,24-10-2013,214.8
-28.376944,24.303056,07-11-2013,214.8
-28.376944,24.303056,21-11-2013,214.8
-28.376944,24.303056,02-01-2014,154.6
-28.376944,24.303056,16-01-2014,212.7
-28.376944,24.303056,30-01-2014,212.7
-28.376944,24.303056,27-02-2014,212.7
-29.744167,29.905833,24-03-2014,141.6
-26.45,28.085833,24-03-2014,159.7
-27.935,26.126667,24-03-2014,194.8
-28.141944,26.417778,24-03-2014,191.90001
-28.376944,24.303056,05-06-2014,212.7
-28.1175,26.719444,24-03-2014,186.2
-22.225556,29.990556,25-03-2014,151.40001
-25.127778,27.628889,25-03-2014,173.40001
-24.39619444,27.08983333,25-03-2014,175.2
-24.69514,27.40906,25-03-2014,178.1
-28.376944,24.303056,23-10-2014,225.6
-30.733889,29.828333,25-03-2014,130.7
-26.861111,28.884722,25-03-2014,156.1
-28.116667,26.725278,25-03-2014,186.2
-29.160278,26.573333,25-03-2014,192.5
-28.69485,28.23487,25-03-2014,157.3
-29.615556,27.065278,25-03-2014,180.8
-28.883333,27.89,25-03-2014,161.3
-33.501667,21.624167,25-03-2014,184.0
-29.161667,23.696389,26-03-2014,221.2
-27.01011111,26.69808333,26-03-2014,180.0
-22.935,28.004167,26-03-2014,161.5
-25.20639,27.558,26-03-2014,174.0
-28.376944,24.303056,16-07-2015,230.7
-28.376944,24.303056,30-07-2015,230.7
-28.376944,24.303056,13-08-2015,230.7
-28.376944,24.303056,24-09-2015,230.7
-28.376944,24.303056,08-10-2015,230.7
-28.376944,24.303056,22-10-2015,230.7
-28.376944,24.303056,05-11-2015,230.7
-28.376944,24.303056,19-11-2015,230.7
-28.376944,24.303056,03-12-2015,230.7
-28.376944,24.303056,31-12-2015,230.7
-30.398056,30.601944,26-03-2014,135.7
-26.648056,27.089444,26-03-2014,168.6
-26.970278,27.211111,26-03-2014,170.40001
-26.880278,26.965,26-03-2014,172.40001
-26.98472222,26.63227778,26-03-2014,178.2
-27.671111,27.236944,26-03-2014,177.90001
-27.044444,27.005,26-03-2014,174.8
-30.160091,27.40124,26-03-2014,173.5
-30.336111,27.359444,26-03-2014,173.6
-22.935,28.004167,27-03-2014,161.5
-30.830556,26.921389,27-03-2014,177.6
-22.548889,28.898056,27-03-2014,154.7
-22.91028,29.61111,27-03-2014,142.5
-30.13573889,30.67422222,27-03-2014,137.8
-27.38972222,26.46388889,27-03-2014,189.40001
-27.398611,26.614722,27-03-2014,187.7
-27.902778,24.615556,27-03-2014,210.3
-29.658056,25.973333,27-03-2014,194.1
-31.000833,26.353056,27-03-2014,180.0
-30.679722,26.7125,27-03-2014,183.40001
-30.534167,24.961944,27-03-2014,210.7
-27.356667,27.286389,27-03-2014,177.3
-22.548889,28.898056,28-03-2014,154.7
-29.160278,26.573333,28-03-2014,192.5
-29.803611,30.516111,28-03-2014,134.8
-25.99136,27.84208,31-03-2014,160.1
-25.513889,31.224444,31-03-2014,139.0
-33.818056,19.694722,31-03-2014,200.1
-32.502778,19.535833,31-03-2014,233.8
-25.681111,31.783333,01-04-2014,135.7
-27.935,26.126667,01-04-2014,194.8
-28.1175,26.719444,01-04-2014,186.2
-28.116667,26.725278,01-04-2014,186.2
-27.671111,27.236944,01-04-2014,177.90001
-34.075556,20.145556,01-04-2014,181.7
-29.161667,23.696389,02-04-2014,221.2
-25.81048333,27.90955222,02-04-2014,163.7
-22.935,28.004167,02-04-2014,161.5
-24.768889,31.39,02-04-2014,134.1
-24.9675,31.516667,02-04-2014,136.40001
-28.801278,31.955389,02-04-2014,147.6
-29.744167,29.905833,02-04-2014,141.6
-27.4275,28.525833,02-04-2014,157.90001
-27.398611,26.614722,02-04-2014,187.7
-27.671111,27.236944,02-04-2014,177.90001
-29.033333,23.983333,02-04-2014,217.3
-28.768056,20.720556,02-04-2014,260.2
-34.031944,22.053333,02-04-2014,153.90001
-34.039722,22.133333,02-04-2014,152.40001
-33.7075,18.97444444,02-04-2014,203.90001
-28.058889,30.373611,02-04-2014,155.7
-27.495556,26.074722,02-04-2014,192.0
-27.4,26.624722,02-04-2014,187.7
-27.01011111,26.69808333,03-04-2014,180.0
-22.91028,29.61111,03-04-2014,142.5
-23.658056,31.05,03-04-2014,139.0
-23.281,30.54305556,03-04-2014,140.40001
-24.99328,30.81444,03-04-2014,123.5
-27.937778,31.209444,03-04-2014,151.1
-27.5275,30.858056,03-04-2014,145.8
-26.648056,27.089444,03-04-2014,168.6
-26.970278,27.211111,03-04-2014,170.40001
-26.880278,26.965,03-04-2014,172.40001
-26.98472222,26.63227778,03-04-2014,178.2
-27.044444,27.005,03-04-2014,174.8
-33.13083,18.86278,03-04-2014,212.90001
-28.404444,30.013056,04-04-2014,160.8
-28.116667,26.725278,04-04-2014,186.2
-28.735556,29.820556,07-04-2014,159.40001
-26.73806,27.59194,07-04-2014,164.40001
-26.45,28.085833,07-04-2014,159.7
-26.98472222,26.63227778,07-04-2014,178.2
-27.935,26.126667,07-04-2014,194.8
-28.141944,26.417778,07-04-2014,191.90001
-28.1175,26.719444,07-04-2014,186.2
-28.116667,26.725278,07-04-2014,186.2
-29.042222,24.6,07-04-2014,219.1
-29.028629,24.638389,07-04-2014,218.2
-29.033333,23.983333,07-04-2014,217.3
-31.554722,29.245556,07-04-2014,123.6
-27.01011111,26.69808333,08-04-2014,180.0
-34.065833,20.404167,08-04-2014,178.0
-25.127778,27.628889,08-04-2014,173.40001
-25.20639,27.558,08-04-2014,174.0
-24.69514,27.40906,08-04-2014,178.1
-22.769722,30.886944,08-04-2014,143.1
-27.169444,29.233889,08-04-2014,152.1
-26.861111,28.884722,08-04-2014,156.1
-26.648056,27.089444,08-04-2014,168.6
-26.970278,27.211111,08-04-2014,170.40001
-26.880278,26.965,08-04-2014,172.40001
-26.98472222,26.63227778,08-04-2014,178.2
-30.570833,29.150556,08-04-2014,138.0
-33.31388889,19.07472222,08-04-2014,209.40001
-28.338333,31.373611,08-04-2014,146.90001
-29.658056,25.973333,27-09-2011,201.6
-28.068333,31.55,08-04-2014,154.90001
-28.308889,31.9025,08-04-2014,150.3
-25.57877778,29.12747222,08-04-2014,160.6
-29.641944,30.6875,09-04-2014,140.5
-25.73411,27.21422,09-04-2014,165.7
-28.44555556,32.325,04-06-2014,140.7
-28.75,30.442778,09-04-2014,162.0
-29.161667,30.629722,09-04-2014,138.1
-27.00222,28.76528,09-04-2014,156.7
-27.02314,28.59389,09-04-2014,158.2
-27.273889,28.49,09-04-2014,158.8
-27.4275,28.525833,09-04-2014,157.90001
-27.3,28.586944,09-04-2014,158.0
-30.568333,29.422778,09-04-2014,136.5
-31.031389,28.883333,09-04-2014,137.90001
-30.86013889,29.07125,09-04-2014,139.3
-30.77586667,29.03221667,09-04-2014,140.3
-32.595833,19.009444,09-04-2014,223.1
-28.376944,24.303056,10-04-2014,212.7
-34.092222,21.295278,10-04-2014,168.8
-34.329722,18.990278,10-04-2014,157.6
-33.897778,20.012778,10-04-2014,193.5
-27.902778,24.615556,11-04-2014,210.3
-24.679167,30.8025,14-04-2014,133.7
-25.99136,27.84208,14-04-2014,160.1
-26.73806,27.59194,14-04-2014,164.40001
-28.1175,26.719444,14-04-2014,186.2
-28.116667,26.725278,14-04-2014,186.2
-33.08883333,19.21878333,14-04-2014,198.90001
-24.183889,30.823889,15-04-2014,139.7
-27.169444,29.233889,15-04-2014,152.1
-26.861111,28.884722,15-04-2014,156.1
-27.00222,28.76528,15-04-2014,156.7
-27.4275,28.525833,15-04-2014,157.90001
-26.98472222,26.63227778,15-04-2014,178.2
-27.935,26.126667,15-04-2014,194.8
-29.160278,26.573333,15-04-2014,192.5
-29.033333,23.983333,15-04-2014,217.3
-25.45963889,28.26430556,15-04-2014,164.7
-29.161667,23.696389,16-04-2014,221.2
-28.7115,24.07288889,16-04-2014,216.3
-27.01011111,26.69808333,16-04-2014,180.0
-25.81048333,27.90955222,16-04-2014,163.7
-26.905,32.324722,16-04-2014,147.40001
-27.602222,29.942778,16-04-2014,162.40001
-29.744167,29.905833,16-04-2014,141.6
-26.648056,27.089444,16-04-2014,168.6
-26.970278,27.211111,16-04-2014,170.40001
-26.880278,26.965,16-04-2014,172.40001
-29.033333,23.983333,16-04-2014,217.3
-29.1825,23.575556,16-04-2014,226.40001
-28.768056,20.720556,16-04-2014,260.2
-27.363611,31.783333,17-04-2014,147.1
-29.042222,24.6,17-04-2014,219.1
-29.028629,24.638389,17-04-2014,218.2
-29.987778,29.851667,21-04-2014,135.40001
-29.744167,29.905833,21-04-2014,141.6
-30.733889,29.828333,22-04-2014,130.7
-29.380556,30.2775,22-04-2014,135.40001
-27.935,26.126667,22-04-2014,194.8
-28.141944,26.417778,22-04-2014,191.90001
-28.1175,26.719444,22-04-2014,186.2
-28.116667,26.725278,22-04-2014,186.2
-29.160278,26.573333,22-04-2014,192.5
-33.501667,21.624167,22-04-2014,184.0
-27.01011111,26.69808333,23-04-2014,180.0
-25.127778,27.628889,23-04-2014,173.40001
-25.20639,27.558,23-04-2014,174.0
-24.39619444,27.08983333,23-04-2014,175.2
-24.69514,27.40906,23-04-2014,178.1
-26.970278,27.211111,23-04-2014,170.40001
-26.880278,26.965,23-04-2014,172.40001
-26.98472222,26.63227778,23-04-2014,178.2
-28.1175,26.719444,23-04-2014,186.2
-28.116667,26.725278,23-04-2014,186.2
-27.671111,27.236944,23-04-2014,177.90001
-28.69485,28.23487,23-04-2014,157.3
-29.615556,27.065278,23-04-2014,180.8
-28.883333,27.89,23-04-2014,161.3
-28.760833,17.730278,24-04-2014,252.2
-30.13573889,30.67422222,24-04-2014,137.8
-27.38972222,26.46388889,24-04-2014,189.40001
-28.141944,26.417778,24-04-2014,191.90001
-28.1175,26.719444,24-04-2014,186.2
-28.116667,26.725278,24-04-2014,186.2
-27.398611,26.614722,24-04-2014,187.7
-28.376944,24.303056,24-04-2014,212.7
-30.160091,27.40124,24-04-2014,173.5
-30.336111,27.359444,24-04-2014,173.6
-27.356667,27.286389,24-04-2014,177.3
-30.830556,26.921389,25-04-2014,177.6
-27.902778,24.615556,25-04-2014,210.3
-31.000833,26.353056,25-04-2014,180.0
-30.679722,26.7125,25-04-2014,183.40001
-30.534167,24.961944,25-04-2014,210.7
-29.140556,31.391944,29-04-2014,143.3
-25.99136,27.84208,29-04-2014,160.1
-28.747778,31.745833,29-04-2014,150.8
-28.801278,31.955389,29-04-2014,147.6
-26.73806,27.59194,29-04-2014,164.40001
-26.45,28.085833,29-04-2014,159.7
-27.935,26.126667,29-04-2014,194.8
-28.1175,26.719444,29-04-2014,186.2
-27.671111,27.236944,29-04-2014,177.90001
-28.404444,30.013056,30-04-2014,160.8
-27.169444,29.233889,30-04-2014,152.1
-26.861111,28.884722,30-04-2014,156.1
-26.98472222,26.63227778,30-04-2014,178.2
-25.45963889,28.26430556,30-04-2014,164.7
-28.058889,30.373611,30-04-2014,155.7
-27.495556,26.074722,30-04-2014,192.0
-29.033333,23.983333,05-10-2011,221.90001
-29.033333,23.983333,25-10-2011,221.90001
-29.033333,23.983333,02-11-2011,221.90001
-29.033333,23.983333,16-11-2011,221.90001
-29.033333,23.983333,14-12-2011,221.90001
-29.033333,23.983333,11-01-2012,227.90001
-29.033333,23.983333,25-01-2012,202.3
-29.033333,23.983333,22-02-2012,202.3
-25.81048333,27.90955222,01-05-2014,163.7
-27.937778,31.209444,01-05-2014,151.1
-27.5275,30.858056,01-05-2014,145.8
-29.033333,23.983333,06-06-2012,202.3
-29.033333,23.983333,13-06-2012,202.3
-29.033333,23.983333,26-06-2012,202.3
-29.033333,23.983333,27-06-2012,202.3
-29.033333,23.983333,11-07-2012,236.2
-29.033333,23.983333,18-07-2012,236.2
-29.033333,23.983333,25-07-2012,236.2
-27.02314,28.59389,01-05-2014,158.2
-29.033333,23.983333,22-08-2012,236.2
-29.033333,23.983333,05-09-2012,236.2
-29.033333,23.983333,19-09-2012,236.2
-29.033333,23.983333,17-10-2012,236.2
-29.033333,23.983333,31-10-2012,236.2
-29.033333,23.983333,14-11-2012,236.2
-29.033333,23.983333,28-11-2012,236.2
-29.033333,23.983333,27-02-2013,205.40001
-26.970278,27.211111,01-05-2014,170.40001
-26.880278,26.965,01-05-2014,172.40001
-29.744167,29.905833,02-05-2014,141.6
-34.031944,22.053333,03-05-2014,153.90001
-34.039722,22.133333,03-05-2014,152.40001
-26.970278,27.211111,05-05-2014,170.40001
-26.45,28.085833,05-05-2014,159.7
-27.935,26.126667,05-05-2014,194.8
-29.033333,23.983333,24-07-2013,219.8
-28.141944,26.417778,05-05-2014,191.90001
-28.116667,26.725278,05-05-2014,186.2
-27.671111,27.236944,05-05-2014,177.90001
-32.502778,19.535833,05-05-2014,233.8
-27.01011111,26.69808333,06-05-2014,180.0
-29.641944,30.6875,06-05-2014,140.5
-25.127778,27.628889,06-05-2014,173.40001
-25.20639,27.558,06-05-2014,174.0
-24.69514,27.40906,06-05-2014,178.1
-26.006389,29.253889,06-05-2014,149.3
-28.1175,26.719444,06-05-2014,186.2
-27.398611,26.614722,06-05-2014,187.7
-28.338333,31.373611,06-05-2014,146.90001
-28.068333,31.55,06-05-2014,154.90001
-27.495556,26.074722,06-05-2014,192.0
-27.4,26.624722,06-05-2014,187.7
-28.44555556,32.325,03-07-2014,140.7
-26.648056,27.089444,07-05-2014,168.6
-29.651389,22.746389,07-05-2014,248.2
-24.39619444,27.08983333,08-05-2014,175.2
-29.161667,30.629722,08-05-2014,138.1
-29.033333,23.983333,06-08-2014,229.8
-29.033333,23.983333,20-08-2014,229.8
-29.033333,23.983333,03-09-2014,229.8
-28.376944,24.303056,08-05-2014,212.7
-34.031944,22.053333,08-05-2014,153.90001
-34.039722,22.133333,08-05-2014,152.40001
-34.005833,22.351111,08-05-2014,146.0
-23.838611,31.640833,09-05-2014,141.5
-27.902778,24.615556,09-05-2014,210.3
-25.99136,27.84208,12-05-2014,160.1
-28.735556,29.820556,12-05-2014,159.40001
-31.396,29.2651,12-05-2014,133.3
-31.554722,29.245556,12-05-2014,123.6
-29.033333,23.983333,23-09-2015,230.7
-33.818056,19.694722,12-05-2014,200.1
-33.13083,18.86278,12-05-2014,212.90001
-27.01011111,26.69808333,13-05-2014,180.0
-25.681111,31.783333,13-05-2014,135.7
-25.67386,31.57527,13-05-2014,142.40001
-26.648056,27.089444,13-05-2014,168.6
-26.970278,27.211111,13-05-2014,170.40001
-27.273889,28.49,13-05-2014,158.8
-26.98472222,26.63227778,13-05-2014,178.2
-29.160278,26.573333,13-05-2014,192.5
-30.568333,29.422778,13-05-2014,136.5
-31.104278,29.399722,13-05-2014,132.6
-34.092222,21.295278,13-05-2014,168.8
-34.075556,20.145556,13-05-2014,181.7
-25.45963889,28.26430556,13-05-2014,164.7
-25.81048333,27.90955222,14-05-2014,163.7
-24.183889,30.823889,14-05-2014,139.7
-24.058889,31.237222,14-05-2014,137.5
-25.67386,31.57527,14-05-2014,142.40001
-26.905,32.324722,14-05-2014,147.40001
-29.744167,29.905833,14-05-2014,141.6
-27.169444,29.233889,14-05-2014,152.1
-26.861111,28.884722,14-05-2014,156.1
-26.73806,27.59194,14-05-2014,164.40001
-26.45,28.085833,14-05-2014,159.7
-27.3,28.586944,14-05-2014,158.0
-26.98472222,26.63227778,14-05-2014,178.2
